Configuration,sensitivity,specificity,ppv,npv,balanced_accuracy,brier_score
dt_none_logistic,0.8571428571428571,0.7647058823529411,0.75,0.8666666666666667,0.8109243697478992,0.1302480437723747
dt_none_xgb,0.7857142857142857,0.7647058823529411,0.7333333333333333,0.8125,0.7752100840336134,0.1335451658044419
dt_none_ada,0.8571428571428571,0.8235294117647058,0.8,0.875,0.8403361344537814,0.1318431339159062
dt_none_gb,0.7857142857142857,0.8235294117647058,0.7857142857142857,0.8235294117647058,0.8046218487394958,0.13297663099477824
dt_smote_knn,0.8571428571428571,0.8235294117647058,0.8,0.875,0.8403361344537814,0.10778259368647156
dt_smote_svm,0.7857142857142857,0.7647058823529411,0.7333333333333333,0.8125,0.7752100840336134,0.1522890414049
dt_smote_logistic,0.8571428571428571,0.7647058823529411,0.75,0.8666666666666667,0.8109243697478992,0.14768187526263432
dt_smote_lgbm,0.7857142857142857,0.7647058823529411,0.7333333333333333,0.8125,0.7752100840336134,0.13046386906783816
dt_smote_xgb,0.8571428571428571,0.8235294117647058,0.8,0.875,0.8403361344537814,0.13190580058503004
dt_smote_ada,0.8571428571428571,0.8235294117647058,0.8,0.875,0.8403361344537814,0.1335383382634752
dt_smote_gb,0.7857142857142857,0.7647058823529411,0.7333333333333333,0.8125,0.7752100840336134,0.13099116899172386
fe_dt_none_knn,0.8571428571428571,0.8823529411764706,0.8571428571428571,0.8823529411764706,0.8697478991596639,0.09463554395604154
fe_dt_none_svm,0.8571428571428571,0.7647058823529411,0.75,0.8666666666666667,0.8109243697478992,0.10725535953273725
fe_dt_none_logistic,0.8571428571428571,0.8235294117647058,0.8,0.875,0.8403361344537814,0.11280923746229907
fe_dt_none_lgbm,0.7857142857142857,0.8235294117647058,0.7857142857142857,0.8235294117647058,0.8046218487394958,0.13194119692037992
fe_dt_none_xgb,0.8571428571428571,0.8823529411764706,0.8571428571428571,0.8823529411764706,0.8697478991596639,0.11315814378580302
fe_dt_none_gb,0.7142857142857143,0.8823529411764706,0.8333333333333334,0.7894736842105263,0.7983193277310925,0.15335454258740347
fe_dt_none_ada,0.7857142857142857,0.8235294117647058,0.7857142857142857,0.8235294117647058,0.8046218487394958,0.17090025729850777
fe_dt_smote_knn,0.8571428571428571,0.7647058823529411,0.75,0.8666666666666667,0.8109243697478992,0.13984339583629132
fe_dt_smote_svm,0.7857142857142857,0.8235294117647058,0.7857142857142857,0.8235294117647058,0.8046218487394958,0.1349673239489275
fe_dt_smote_logistic,0.8571428571428571,0.8235294117647058,0.8,0.875,0.8403361344537814,0.11336894818014118
fe_dt_smote_lgbm,0.7857142857142857,0.8235294117647058,0.7857142857142857,0.8235294117647058,0.8046218487394958,0.143937679212064
fe_dt_smote_xgb,0.8571428571428571,0.8235294117647058,0.8,0.875,0.8403361344537814,0.11607044014762258
fe_dt_smote_gb,0.8571428571428571,0.8235294117647058,0.8,0.875,0.8403361344537814,0.11454614086625109
fe_dt_smote_ada,0.8571428571428571,0.8235294117647058,0.8,0.875,0.8403361344537814,0.1318976746527324
master_boruta_none_knn,0.8571428571428571,0.7058823529411765,0.7058823529411765,0.8571428571428571,0.7815126050420168,0.16475053019310187
master_boruta_none_svm,0.8571428571428571,0.7058823529411765,0.7058823529411765,0.8571428571428571,0.7815126050420168,0.16279320777609652
master_boruta_none_logistic,0.8571428571428571,0.7647058823529411,0.75,0.8666666666666667,0.8109243697478992,0.15024211380721852
master_boruta_none_lgbm,0.7857142857142857,0.8235294117647058,0.7857142857142857,0.8235294117647058,0.8046218487394958,0.12855472389569836
master_boruta_none_xgb,0.7857142857142857,0.8823529411764706,0.8461538461538461,0.8333333333333334,0.8340336134453781,0.15509895533270193
master_boruta_none_ada,0.8571428571428571,0.8235294117647058,0.8,0.875,0.8403361344537814,0.13310670370645983
master_boruta_none_gb,0.8571428571428571,0.7647058823529411,0.75,0.8666666666666667,0.8109243697478992,0.13216904544402283
master_boruta_smote_knn,0.8571428571428571,0.7058823529411765,0.7058823529411765,0.8571428571428571,0.7815126050420168,0.1552146621462858
master_boruta_smote_svm,0.8571428571428571,0.7058823529411765,0.7058823529411765,0.8571428571428571,0.7815126050420168,0.16788971708348113
master_boruta_smote_logistic,0.8571428571428571,0.7647058823529411,0.75,0.8666666666666667,0.8109243697478992,0.13622908176518966
master_boruta_smote_lgbm,0.7857142857142857,0.8235294117647058,0.7857142857142857,0.8235294117647058,0.8046218487394958,0.13734258227423782
master_boruta_smote_xgb,0.7857142857142857,0.8823529411764706,0.8461538461538461,0.8333333333333334,0.8340336134453781,0.15919414385761443
master_boruta_smote_gb,0.7142857142857143,0.8235294117647058,0.7692307692307693,0.7777777777777778,0.76890756302521,0.1870071256328068
master_boruta_smote_ada,0.8571428571428571,0.8235294117647058,0.8,0.875,0.8403361344537814,0.13577857305522503
