Configuration,Dataset,Imbalance,Model,accuracy,precision,recall,f1,specificity,roc_auc
raw_smote_lgbm,raw,smote,lgbm,0.8064516129032258,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8235294117647058,0.8865546218487395
fe_none_ada,fe,none,ada,0.8064516129032258,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8235294117647058,0.8172268907563025
fe_dt_none_ada,fe_dt,none,ada,0.8064516129032258,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8235294117647058,0.8172268907563025
fe_dt_none_lgbm,fe_dt,none,lgbm,0.8064516129032258,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8235294117647058,0.9159663865546218
fe_dt_smote_svm,fe_dt,smote,svm,0.8064516129032258,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8235294117647058,0.9285714285714286
master_boruta_smote_lgbm,master_boruta,smote,lgbm,0.8064516129032258,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8235294117647058,0.8781512605042017
fe_dt_smote_lgbm,fe_dt,smote,lgbm,0.8064516129032258,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8235294117647058,0.9117647058823529
master_boruta_none_knn,master_boruta,none,knn,0.7741935483870968,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.7058823529411765,0.8718487394957983
master_boruta_smote_svm,master_boruta,smote,svm,0.7741935483870968,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.7058823529411765,0.8571428571428572
master_boruta_smote_knn,master_boruta,smote,knn,0.7741935483870968,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.7058823529411765,0.8676470588235294
master_boruta_none_svm,master_boruta,none,svm,0.7741935483870968,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.7058823529411765,0.865546218487395
fe_dt_none_gb,fe_dt,none,gb,0.8064516129032258,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.8823529411764706,0.8991596638655461
dt_none_lgbm,dt,none,lgbm,0.7741935483870968,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.7647058823529411,0.8949579831932774
dt_none_xgb,dt,none,xgb,0.7741935483870968,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.7647058823529411,0.8949579831932772
dt_smote_svm,dt,smote,svm,0.7741935483870968,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.7647058823529411,0.8781512605042017
dt_smote_lgbm,dt,smote,lgbm,0.7741935483870968,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.7647058823529411,0.8991596638655462
dt_smote_gb,dt,smote,gb,0.7741935483870968,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.7647058823529411,0.8991596638655462
master_boruta_smote_gb,master_boruta,smote,gb,0.7741935483870968,0.7692307692307693,0.7142857142857143,0.7407407407407407,0.8235294117647058,0.8487394957983193
